ProductID,ProductPrice,CustomerAge,CustomerGender,PurchaseFrequency,CustomerSatisfaction,PurchaseIntent,ProductCategory_Laptops,ProductCategory_Smart Watches,ProductCategory_Smartphones,ProductCategory_Tablets,ProductBrand_HP,ProductBrand_Other Brands,ProductBrand_Samsung,ProductBrand_Sony
5874,-1.4634843824823325,-1.683710856011387,0,-1.4749369035482915,1,0,0,0,1,0,0,1,0,0
5875,-0.6591994120010747,-0.5544614556013354,1,-0.5593577960650779,2,1,0,1,0,0,0,0,1,0
5876,1.3005758475422695,1.3054787333093376,0,-1.6580527250449342,5,1,0,0,0,1,0,0,1,0
5877,-0.7917454372499012,1.3054787333093376,1,-0.0100103315751496,3,1,0,0,1,0,0,0,1,0
5878,0.3271978221105867,0.9069201213999076,0,1.2718004189013494,3,0,0,0,0,1,0,0,0,1
5879,-1.3909431893213928,-0.4216085849648587,1,-0.3762419745684351,1,1,0,0,1,0,0,0,1,0
5880,0.9671662908918132,-1.1522993734654805,1,-0.9255894390583632,5,1,0,0,1,0,0,0,1,0
5881,-0.9005523723468081,-0.5544614556013354,0,0.3562213114181358,5,1,0,0,1,0,1,0,0,0
5882,0.8882667138831187,-1.6172844206931485,1,-1.2918210820516487,4,1,1,0,0,0,0,1,0,0
5883,-0.6336110778411977,1.5047580392640527,1,-0.3762419745684351,4,1,1,0,0,0,1,0,0,0
5884,-0.7812292391232916,-1.5508579853749105,1,-1.6580527250449342,3,0,0,0,1,0,0,1,0,0
5885,0.0438974838965406,-0.3551821496466204,1,0.7224529544114212,2,1,1,0,0,0,0,0,0,0
5886,-0.2772319508473639,0.3090822035357628,0,-1.6580527250449342,3,0,0,0,0,1,0,0,1,0
5887,0.276444887441288,1.2390522979910994,0,-1.4749369035482915,5,1,0,0,0,0,0,0,0,1
5888,1.155942102842964,0.7076408154451928,0,0.3562213114181358,4,1,0,0,0,0,0,0,0,0
5889,-0.2976100352790529,-0.6873143262378121,0,-1.6580527250449342,2,0,0,0,0,1,1,0,0,0
5890,1.0376106874582562,-0.9530200675107652,1,-1.2918210820516487,4,1,0,0,0,1,0,0,1,0
5891,-1.3335458022022983,-1.1522993734654805,0,1.0886845974047068,1,0,0,0,1,0,0,0,0,0
5892,-0.3654308198314047,-1.0194465028290036,0,-1.108705260555006,5,0,0,0,0,1,0,0,0,0
5893,1.1014017778572676,-0.0230499730554287,0,-0.9255894390583632,5,1,0,1,0,0,0,0,1,0
5894,-0.5475213055553688,0.973346556718146,0,-1.108705260555006,3,0,0,0,1,0,0,1,0,0
5895,1.5515998100749326,-0.6208878909195737,0,0.3562213114181358,2,0,0,0,0,0,1,0,0,0
5896,-1.591557213818671,1.4383316039458145,0,1.454916240397992,4,1,1,0,0,0,1,0,0,0
5897,-1.3892825867500702,1.571184474582291,1,-0.5593577960650779,5,1,0,0,0,0,1,0,0,0
5898,-0.833572881364668,-1.3515786794201954,0,1.2718004189013494,2,0,0,0,0,0,0,1,0,0
5899,-0.7714086314857158,1.1726258626728612,1,-0.0100103315751496,1,1,1,0,0,0,1,0,0,0
5900,0.7603898984061035,0.973346556718146,1,0.3562213114181358,4,1,0,0,0,1,0,0,1,0
5901,0.0657271391486351,1.371905168627576,0,-0.9255894390583632,5,1,0,0,1,0,0,0,0,0
5902,0.6862160192446042,-0.4216085849648587,0,1.454916240397992,1,0,0,1,0,0,1,0,0,0
5903,0.6980782379183254,0.7740672507634311,0,0.905568775908064,5,1,0,0,0,0,0,0,0,0
5904,1.4096951994653084,0.8404936860816694,1,-0.0100103315751496,2,1,0,0,1,0,0,1,0,0
5905,-0.2227447592537627,-1.0194465028290036,1,1.2718004189013494,4,1,0,0,0,1,1,0,0,0
5906,1.3330884271982408,-0.0894764083736671,0,-1.4749369035482915,2,0,0,0,0,1,0,1,0,0
5907,-0.6857001779599597,0.9069201213999076,1,-1.4749369035482915,2,1,0,0,1,0,0,0,0,0
5908,1.0719992639953828,-0.2887557143283821,1,-0.1931261530717924,4,1,0,0,1,0,0,0,0,0
5909,0.1817881766068625,0.4419350741722395,0,0.7224529544114212,5,1,0,0,1,0,1,0,0,0
5910,1.1991240406739732,0.5747879448087161,1,0.7224529544114212,5,1,0,0,0,0,0,1,0,0
5911,-0.1053414074389926,0.4419350741722395,1,-1.6580527250449342,2,1,0,0,0,1,0,1,0,0
5912,-1.4517670632552175,-0.2223292790101437,0,-0.5593577960650779,3,0,1,0,0,0,0,0,1,0
5913,-1.0112192799551345,-0.1559028436919054,0,-0.0100103315751496,2,0,0,1,0,0,0,0,1,0
5914,-0.6993641992092087,-0.9530200675107652,1,1.454916240397992,2,0,0,1,0,0,1,0,0,0
5915,0.8899014854292677,1.4383316039458145,1,1.638032061894635,2,1,0,1,0,0,1,0,0,0
5916,0.5116106575041116,-0.8865936321925271,1,-1.4749369035482915,1,0,0,0,0,1,0,1,0,0
5917,0.9347266649629826,0.2426557682175245,1,-1.108705260555006,3,1,0,0,0,0,1,0,0,0
5918,1.3146805609510417,1.1061994273546227,1,1.454916240397992,5,1,0,1,0,0,0,0,0,0
5919,-1.0451180383887355,-0.9530200675107652,1,-0.1931261530717924,1,0,0,0,1,0,0,0,1,0
5920,0.0498812693165743,-0.1559028436919054,1,1.2718004189013494,3,1,0,0,0,1,0,0,0,1
5921,0.7675965592144919,-1.484431550056672,0,1.0886845974047068,3,0,1,0,0,0,0,0,1,0
5922,-1.4017376407068425,-0.6873143262378121,1,1.2718004189013494,4,1,0,1,0,0,0,0,0,1
5923,-0.0167801497536886,0.3755086388540011,1,-1.6580527250449342,5,1,0,0,1,0,0,0,0,0
5924,-0.4280036260067328,0.9069201213999076,0,-0.1931261530717924,2,0,1,0,0,0,0,0,1,0
5925,-0.6209774217945403,-1.1522993734654805,0,1.454916240397992,5,0,0,0,0,1,0,1,0,0
5926,-0.2936980448505591,-1.484431550056672,1,-1.108705260555006,4,1,0,1,0,0,0,0,0,1
5927,1.5680841904098597,-1.6172844206931485,1,0.3562213114181358,2,0,0,0,1,0,1,0,0,0
5928,-1.5966212535095192,-1.683710856011387,0,-1.6580527250449342,5,0,0,0,1,0,1,0,0,0
5929,-1.1760301905618538,-1.085872938147242,1,-0.9255894390583632,4,1,0,1,0,0,0,0,1,0
5930,1.3823122039792677,0.5083615094904779,0,1.638032061894635,2,0,0,1,0,0,0,0,1,0
5931,-0.8722523193127236,-1.2187258087837187,0,-0.7424736175617206,5,0,1,0,0,0,0,1,0,0
5932,1.4389860130622925,-1.2187258087837187,1,0.905568775908064,3,0,0,0,0,1,0,0,0,1
5933,-1.2760961567839657,1.7040373452187676,0,-1.4749369035482915,3,0,0,0,0,1,0,0,0,0
5934,0.3725793568102007,1.571184474582291,0,-0.0100103315751496,2,0,0,0,0,0,0,1,0,0
5935,0.1588433069704262,0.0433764622628095,1,1.2718004189013494,5,1,0,1,0,0,0,0,0,1
5936,0.6827291019780225,1.7040373452187676,0,0.173105489921493,3,0,0,0,0,1,0,1,0,0
5937,-1.1347118638306437,-0.6873143262378121,1,0.173105489921493,4,1,1,0,0,0,0,0,0,0
5938,1.4426907612095636,1.571184474582291,0,-1.2918210820516487,1,0,0,0,1,0,0,1,0,0
5939,-0.2007298595448785,-0.4216085849648587,0,1.2718004189013494,5,1,0,1,0,0,0,0,0,0
5940,1.721751807155206,-1.285152244101957,0,-0.1931261530717924,5,0,0,0,1,0,1,0,0,0
5941,-0.9356722581521046,-1.3515786794201954,0,1.2718004189013494,5,0,0,0,0,1,0,0,0,0
5942,0.7270631220892105,-1.0194465028290036,0,1.638032061894635,2,0,0,1,0,0,0,1,0,0
5943,-1.3763024382771862,-1.4180051147384336,1,-0.5593577960650779,4,1,0,1,0,0,0,0,0,1
5944,1.6123644300277902,1.1726258626728612,0,1.638032061894635,5,1,0,1,0,0,0,0,0,1
5945,0.5400385285626645,-1.6172844206931485,1,-1.108705260555006,1,0,0,1,0,0,0,0,1,0
5946,1.2442451876499692,1.571184474582291,1,1.0886845974047068,5,1,0,0,0,0,1,0,0,0
5947,0.1036685661741357,-1.2187258087837187,1,-1.4749369035482915,2,0,0,1,0,0,0,1,0,0
5948,-0.0330167192641265,1.2390522979910994,0,-1.2918210820516487,3,0,0,0,0,1,0,0,1,0
5949,0.5328948775730515,-0.5544614556013354,0,-0.0100103315751496,1,0,0,0,1,0,0,1,0,0
5950,-1.524695562970785,-0.1559028436919054,1,1.454916240397992,4,1,0,0,0,1,0,1,0,0
5951,0.3252003304798972,-0.6873143262378121,0,-1.6580527250449342,4,1,0,0,0,1,0,1,0,0
5952,-0.8894588798488072,-0.0894764083736671,1,1.0886845974047068,4,1,0,0,1,0,0,0,0,1
5953,-0.8445145065705295,-1.1522993734654805,0,0.7224529544114212,5,0,0,0,1,0,0,0,0,0
5954,0.9931836715593432,0.6412143801269544,0,0.3562213114181358,4,1,0,0,0,0,0,0,0,0
5955,-0.3610573402314485,0.5083615094904779,0,1.454916240397992,1,0,0,1,0,0,0,0,0,1
5956,-1.690177510493772,1.6376109099005294,1,-1.2918210820516487,3,1,0,1,0,0,0,0,0,1
5957,-0.501076614976661,0.6412143801269544,0,-0.7424736175617206,3,0,0,0,0,1,1,0,0,0
5958,1.3491424997205117,1.1061994273546227,0,-0.9255894390583632,2,0,0,0,1,0,0,0,1,0
5959,-0.2122917979735987,1.571184474582291,1,0.5393371329147785,1,1,0,0,0,1,0,0,0,1
5960,-1.5590133101283294,1.7040373452187676,0,-0.5593577960650779,1,0,1,0,0,0,0,0,0,0
5961,-0.4051663751982566,1.6376109099005294,0,0.173105489921493,5,1,0,0,0,1,0,0,0,0
5962,1.1573712757689445,0.9069201213999076,1,1.2718004189013494,2,1,0,0,0,0,0,0,1,0
5963,-0.3204103181741937,1.4383316039458145,1,-0.0100103315751496,5,1,0,0,0,0,0,0,0,1
5964,-1.708900522960275,-0.4216085849648587,1,0.7224529544114212,4,1,1,0,0,0,0,0,0,0
5965,1.1794190631592534,0.7740672507634311,1,0.905568775908064,4,1,0,0,0,0,0,0,1,0
5966,1.388080108257309,1.371905168627576,0,0.5393371329147785,1,0,0,1,0,0,0,0,1,0
5967,-0.3494105387631321,0.3090822035357628,0,-1.2918210820516487,2,0,0,0,0,1,1,0,0,0
5968,1.388043116243372,-1.2187258087837187,1,0.7224529544114212,4,1,0,1,0,0,1,0,0,0
5969,-1.3466561930997047,0.1762293328992862,0,1.638032061894635,1,0,0,0,1,0,0,0,0,0
5970,-0.0270206172314649,-1.085872938147242,1,0.7224529544114212,2,0,0,0,0,0,0,0,0,0
5971,-1.571794012623717,0.7740672507634311,0,0.5393371329147785,5,1,0,1,0,0,0,0,0,1
5972,-0.1844467903330327,0.3090822035357628,1,0.173105489921493,4,1,0,1,0,0,0,0,0,0
5973,-0.0258235053865976,0.6412143801269544,1,0.3562213114181358,3,1,0,0,0,0,0,0,1,0
5974,0.182210761381623,-0.8865936321925271,1,1.0886845974047068,3,0,0,0,0,0,0,1,0,0
5975,-1.5701528280278916,0.5083615094904779,0,0.5393371329147785,2,0,0,0,0,0,0,1,0,0
5976,1.1839678276422425,0.4419350741722395,0,1.454916240397992,3,0,0,0,0,0,0,0,1,0
5977,-0.4111327985446436,0.2426557682175245,1,-0.9255894390583632,5,1,1,0,0,0,0,0,1,0
5978,1.613973936912913,1.7040373452187676,1,-1.2918210820516487,2,1,0,1,0,0,0,0,0,0
5979,1.4870073758660216,0.1098028975810478,0,0.173105489921493,4,1,0,0,0,0,1,0,0,0
5980,0.9731941358273064,0.6412143801269544,0,-1.6580527250449342,3,0,1,0,0,0,1,0,0,0
5981,0.0051890046026288,1.371905168627576,1,-0.1931261530717924,3,1,0,1,0,0,0,0,0,1
5982,0.9496741619616822,-1.2187258087837187,0,0.3562213114181358,2,0,1,0,0,0,0,1,0,0
5983,1.504024957918552,0.8404936860816694,1,0.905568775908064,4,1,0,0,0,1,0,1,0,0
5984,-0.8123473015548665,0.973346556718146,1,1.454916240397992,5,1,0,0,0,0,1,0,0,0
5985,-1.1456275164202958,-1.0194465028290036,1,-0.9255894390583632,5,1,1,0,0,0,0,0,0,1
5986,-1.2472859365441034,-0.0894764083736671,1,1.2718004189013494,4,1,0,0,0,0,0,1,0,0
5987,1.0562430532227067,1.4383316039458145,0,-1.108705260555006,2,0,0,1,0,0,0,1,0,0
5988,1.4249692475701663,1.3054787333093376,0,1.2718004189013494,4,1,0,0,1,0,0,0,0,1
5989,0.5294651474198134,0.1098028975810478,0,0.905568775908064,1,0,0,0,0,0,0,0,1,0
5990,0.5093926333152536,-0.8865936321925271,0,1.638032061894635,2,0,1,0,0,0,0,0,0,1
5991,1.49219974812919,0.8404936860816694,1,-0.3762419745684351,2,1,0,1,0,0,0,0,0,0
5992,0.4847430437505904,-1.2187258087837187,0,-1.108705260555006,5,0,0,0,0,1,1,0,0,0
5993,1.5862899682895648,-1.2187258087837187,0,1.638032061894635,5,0,1,0,0,0,0,0,0,1
5994,0.9498620116935428,-1.484431550056672,1,1.0886845974047068,3,0,0,0,0,0,0,0,0,1
5995,-0.0589255809462137,0.1098028975810478,0,1.454916240397992,3,0,1,0,0,0,0,1,0,0
5996,1.0905912865571945,0.6412143801269544,1,0.5393371329147785,1,1,0,0,0,1,0,0,0,0
5997,1.273837862491442,-0.3551821496466204,0,-0.1931261530717924,1,0,1,0,0,0,0,1,0,0
5998,0.5502005823219274,1.571184474582291,1,0.7224529544114212,3,1,1,0,0,0,1,0,0,0
5999,-0.159468965030134,-0.8201671968742887,0,-1.108705260555006,4,1,0,0,1,0,1,0,0,0
6000,0.686014279130808,0.1762293328992862,0,0.7224529544114212,3,0,0,0,0,0,0,0,0,1
6001,1.1080163844831137,0.1762293328992862,0,-0.5593577960650779,4,1,0,0,0,1,1,0,0,0
6002,-0.0575077533786023,-0.3551821496466204,1,-0.7424736175617206,5,1,0,0,1,0,1,0,0,0
6003,1.2667215126637208,0.8404936860816694,0,1.0886845974047068,1,0,0,1,0,0,0,0,0,1
6004,-1.159714652296039,-1.5508579853749105,0,-0.5593577960650779,3,0,1,0,0,0,0,0,0,0
6005,0.1062541377981048,-1.6172844206931485,1,0.3562213114181358,2,0,1,0,0,0,0,0,0,1
